eng,zh-cn,zh-tw,Source,Duplicated
Prince of Wudu Separatists,武都王叛党,武都王獨立勢力,Vanilla,False
Prince of Wuling,武陵王,武陵王,Vanilla,False
Prince of Wuling Renegades,武陵王乱军,武陵王叛黨,Vanilla,False
Prince of Wuling Separatist Renegades,武陵王叛党乱军,武陵王獨立勢力叛黨,Vanilla,False
Prince of Wuling Separatists,武陵王叛党,武陵王獨立勢力,Vanilla,False
Prince of Xiapi,下邳王,下邳王,Vanilla,False
Prince of Xiapi Renegades,下邳王乱军,下邳王叛黨,Vanilla,False
Prince of Xiapi Separatist Renegades,下邳王叛党乱军,下邳王獨立勢力叛黨,Vanilla,False
Prince of Xiapi Separatists,下邳王叛党,下邳王獨立勢力,Vanilla,False
Prince of Xihe,西河王,西河王,Vanilla,False
Prince of Xihe Renegades,西河王乱军,西河王叛黨,Vanilla,False
Prince of Xihe Separatist Renegades,西河王叛党乱军,西河王獨立勢力叛黨,Vanilla,False
Prince of Xihe Separatists,西河王叛党,西河王獨立勢力,Vanilla,False
Prince of Xindu,新都王,新都王,Vanilla,False
Prince of Xindu Renegades,新都王乱军,新都王叛黨,Vanilla,False
Prince of Xindu Separatist Renegades,新都王叛党乱军,新都王獨立勢力叛黨,Vanilla,False
Prince of Xindu Separatists,新都王叛党,新都王獨立勢力,Vanilla,False
Prince of Xinye,新野王,新野王,Vanilla,False
Prince of Xinye Renegades,新野王乱军,新野王叛黨,Vanilla,False
Prince of Xinye Separatist Renegades,新野王叛党乱军,新野王獨立勢力叛黨,Vanilla,False
Prince of Xinye Separatists,新野王叛党,新野王獨立勢力,Vanilla,False
Prince of Yan,燕王,燕王,Vanilla,False
Prince of Yan Renegades,燕王乱军,燕王叛黨,Vanilla,False
Prince of Yan Separatist Renegades,燕王叛党乱军,燕王獨立勢力叛黨,Vanilla,False
Prince of Yan Separatists,燕王叛党,燕王獨立勢力,Vanilla,False
Prince of Yangzhou,扬州王,揚州王,Vanilla,False
Prince of Yangzhou Renegades,扬州王乱军,揚州王叛黨,Vanilla,False
Prince of Yangzhou Separatist Renegades,扬州王叛党乱军,揚州王獨立勢力叛黨,Vanilla,False
Prince of Yangzhou Separatists,扬州王叛党,揚州王獨立勢力,Vanilla,False
Prince of Yanmen,雁门王,雁門王,Vanilla,False
Prince of Yanmen Renegades,雁门王乱军,雁門王叛黨,Vanilla,False
Prince of Yanmen Separatist Renegades,雁门王叛党乱军,雁門王獨立勢力叛黨,Vanilla,False
Prince of Yanmen Separatists,雁门王叛党,雁門王獨立勢力,Vanilla,False
Prince of Ye,邺王,鄴王,Vanilla,False
Prince of Ye Renegades,邺王乱军,鄴王叛黨,Vanilla,False
Prince of Ye Separatist Renegades,邺王叛党乱军,鄴王獨立勢力叛黨,Vanilla,False
Prince of Ye Separatists,邺王叛党,鄴王獨立勢力,Vanilla,False
Prince of Yiyang,益阳王,義陽王,Vanilla,False
Prince of Yiyang Renegades,益阳王乱军,義陽王叛黨,Vanilla,False
Prince of Yiyang Separatist Renegades,益阳王叛党乱军,義陽王獨立勢力叛黨,Vanilla,False
Prince of Yiyang Separatists,益阳王叛党,義陽王獨立勢力,Vanilla,False
Prince of Yizhou,益州王,益州王,Vanilla,False
Prince of Yizhou Renegades,益州王乱军,益州王叛黨,Vanilla,False
Prince of Yizhou Separatist Renegades,益州王叛党乱军,益州王獨立勢力叛黨,Vanilla,False
Prince of Yizhou Separatists,益州王叛党,益州王獨立勢力,Vanilla,False
Prince of Yuzhang,豫章王,豫章王,Vanilla,False
Prince of Yuzhang Renegades,豫章王乱军,豫章王叛黨,Vanilla,False
Prince of Yuzhang Separatist Renegades,豫章王叛党乱军,豫章王獨立勢力叛黨,Vanilla,False
Prince of Yuzhang Separatists,豫章王叛党,豫章王獨立勢力,Vanilla,False
Prince of Zangke,牂牁王,牂牁王,Vanilla,False
Prince of Zangke Renegades,牂牁王乱军,牂牁王叛黨,Vanilla,False
Prince of Zangke Separatist Renegades,牂牁王叛党乱军,牂牁王獨立勢力叛黨,Vanilla,False
Prince of Zangke Separatists,牂牁王叛党,牂牁王獨立勢力,Vanilla,False
Prince of Zhangwu,章武王,章武王,Vanilla,False
Prince of Zhangwu Renegades,章武王乱军,章武王叛黨,Vanilla,False
Prince of Zhangwu Separatist Renegades,章武王叛党乱军,章武王獨立勢力叛黨,Vanilla,False
Prince of Zhangwu Separatists,章武王叛党,章武王獨立勢力,Vanilla,False
Prince of Zhao,赵王,趙王,Vanilla,False
Prince of Zhao Renegades,赵王乱军,趙王叛黨,Vanilla,False
Prince of Zhao Separatist Renegades,赵王叛党乱军,趙王獨立勢力叛黨,Vanilla,False
Prince of Zhao Separatists,赵王叛党,趙王獨立勢力,Vanilla,False
Prince of Zhongshan,中山王,中山王,Vanilla,False
Prince of Zhongshan Renegades,中山王乱军,中山王叛黨,Vanilla,False
Prince of Zhongshan Separatist Renegades,中山王叛党乱军,中山王獨立勢力叛黨,Vanilla,False
Prince of Zhongshan Separatists,中山王叛党,中山王獨立勢力,Vanilla,False
Protectors of Heaven,乾天卫军,皇天衛,Vanilla,False
Puyang Separatist Renegades,濮阳叛党乱军,濮陽獨立勢力叛黨,Vanilla,False
Puyang Separatists,濮阳叛党,濮陽獨立勢力,Vanilla,False
Qi,齐,齊,Vanilla,False
Qi Crossbowmen,齐国弩兵,齊國弩兵,Vanilla,False
Qi Guardsmen,齐国宿卫,齊國衛兵,Vanilla,False
Qi Separatists,齐叛党,齊獨立勢力,Vanilla,False
Qiang Archers,羌族弓手,羌族弓兵,Vanilla,False
Qiang Hunters,羌族猎手,羌族獵人,Vanilla,False
Qiang Marauders,羌族劫匪,羌族掠奪者,Vanilla,False
Qiang Polearms,羌族矛兵,羌族槍兵,Vanilla,False
Qiang Raiders,羌族掠袭骑兵,羌族突襲隊,Vanilla,False
Qiang Warriors,羌族猛士,羌族兵,Vanilla,False
Qiao Mao,桥瑁,橋瑁,Vanilla,False
Qiao Mao Renegades,桥瑁乱军,橋瑁叛黨,Vanilla,False
Qiao Mao Separatist Renegades,桥瑁叛党乱军,橋瑁獨立勢力叛黨,Vanilla,False
Qiao Mao Separatists,桥瑁叛党,橋瑁獨立勢力,Vanilla,False
Qingzhou Assault Infantry,青州锋锐,青州突襲步兵,Vanilla,False
Qingzhou Halberds,青州戟兵,青州戟兵,Vanilla,False
Qingzhou Spears,青州矛兵,青州長槍兵,Vanilla,False
Qu Gong,瞿恭,瞿恭,Lookup,False
RANDOM,,,Vanilla,False
Raider Cavalry,突袭骑兵,劫匪騎兵,Vanilla,False
Rapid Tiger Infantry,虎捷军,虎賁軍,Vanilla,False
Ravine Warriors,八纳洞兵,洞兵,Vanilla,False
Rebels,叛军,叛軍,Vanilla,False
Reclaimers,敛拾队,回收兵,Vanilla,False
Redeemed Outlaws,收编贼徒,贖罪囚徒,Vanilla,False
Repeating Crossbowmen,连弩兵,連弩兵,Vanilla,False
Righteous Vanguards,义烈先锋,宣義先鋒,Vanilla,False
Runan,汝南,汝南,Vanilla,False
Runan Commandery,汝南豪强,汝南郡,Vanilla,False
Runan Commandery Renegades,汝南豪强乱军,汝南郡叛黨,Vanilla,False
Runan Commandery Separatists,汝南豪强叛党,汝南郡獨立勢力,Vanilla,False
Runan Commandery Separatists Renegades,汝南豪强叛党乱军,汝南郡獨立勢力叛黨,Vanilla,False
Runan Separatist Renegades,汝南叛党乱军,汝南獨立勢力叛黨,Vanilla,False
Runan Separatists,汝南叛党,汝南獨立勢力,Vanilla,False
Sabre Cavalry,持刀骑兵,刀騎兵,Vanilla,False
Sabre Defectors,变节刀兵,持刀叛逃兵,Vanilla,False
Sabre Infantry,持刀步兵,持刀步兵,Vanilla,False
Sabre Militia,持刀民兵,義勇佩刀兵,Vanilla,False
Sanjiang Poison Darts,三江毒箭手,三江毒鏢兵,Vanilla,False
Sanjiang Poison Spears,三江毒矛手,三江毒槍兵,Vanilla,False
Scholar-warriors,文武军,學究戰士,Vanilla,False
Shangdang,上党,上黨,Vanilla,False
Shangdang Commandery,上党豪强,上黨郡,Vanilla,False
Shangdang Commandery Renegades,上党豪强乱军,上黨郡叛黨,Vanilla,False
Shangdang Separatist Renegades,上党叛党乱军,上黨獨立勢力叛黨,Vanilla,False
Shangdang Separatists,上党叛党,上黨獨立勢力,Vanilla,False
Shangdang Separatists Renegades,上党叛党乱军,上黨獨立勢力叛黨,Vanilla,False
Shangyong,上庸,上庸,Vanilla,False
Shangyong Commandery,上庸豪强,上庸郡,Vanilla,False
Shangyong Commandery Renegades,上庸豪强乱军,上庸郡叛黨,Vanilla,False
Shangyong Commandery Separatists,上庸豪强叛党,上庸郡獨立勢力,Vanilla,False
Shangyong Commandery Separatists Renegades,上庸豪强叛党乱军,上庸郡獨立勢力叛黨,Vanilla,False
Shangyong Separatist Renegades,上庸叛党乱军,上庸獨立勢力叛黨,Vanilla,False
Shangyong Separatists,上庸叛党,上庸獨立勢力,Vanilla,False
Shanyue Rebels,山越叛军,山越反抗軍,Vanilla,False
Shanyue Renegades,山越乱军,山越叛黨,Vanilla,False
Shanyue Separatist Renegades,山越叛党乱军,山越獨立勢力叛黨,Vanilla,False
Shanyue Separatists,山越叛党,山越獨立勢力,Vanilla,False
Shen Pei,审配,審配,Lookup,False
Sheng Xian,盛宪,盛憲,Vanilla,False
Sheng Xian Renegades,盛宪乱军,盛憲叛黨,Vanilla,False
Sheng Xian Separatist Renegades,盛宪叛党乱军,盛憲獨立勢力叛黨,Vanilla,False
Sheng Xian Separatists,盛宪叛党,盛憲獨立勢力,Vanilla,False
Shi Hui,士徽,士徽,Vanilla,False
Shi Hui Renegades,士徽乱军,士徽叛黨,Vanilla,False
Shi Hui Separatist Renegades,士徽叛党乱军,士徽獨立勢力叛黨,Vanilla,False
Shi Hui Separatists,士徽叛党,士徽獨立勢力,Vanilla,False
Shi Wei,士䵋,士䵋,Vanilla,False
Shi Wei Renegades,士䵋乱军,士䵋叛黨,Vanilla,False
Shi Wei Separatist Renegades,士䵋叛党乱军,士䵋獨立勢力叛黨,Vanilla,False
Shi Wei Separatists,士䵋叛党,士䵋獨立勢力,Vanilla,False
Shi Wu,士武,士武,Vanilla,False
Shi Wu Renegades,士武乱军,士武叛黨,Vanilla,False
Shi Wu Separatist Renegades,士武叛党乱军,士武獨立勢力叛黨,Vanilla,False
Shi Wu Separatists,士武叛党,士武獨立勢力,Vanilla,False
Shi Xie,士燮,士燮,Vanilla,False
Shi Xie Renegades,士燮乱军,士燮叛黨,Vanilla,False
Shi Xie Separatists,士燮叛党,士燮獨立勢力,Vanilla,False
Shi Xie Separatists Renegades,士燮叛党乱军,士燮獨立勢力叛黨,Vanilla,False
Shi Yi,士壹,士壹,Vanilla,False
Shi Yi Renegades,士壹乱军,士壹叛黨,Vanilla,False
Shi Yi Separatist Renegades,士壹叛党乱军,士壹獨立勢力叛黨,Vanilla,False
Shi Yi Separatists,士壹叛党,士壹獨立勢力,Vanilla,False
Shields of the South,南境盾手,南方之盾,Vanilla,False
Shoufang Commandery,朔方豪强,朔方郡,Vanilla,False
Shoufang Commandery Renegades,朔方豪强乱军,朔方郡叛黨,Vanilla,False
Shoufang Separatist Renegades,朔方叛党乱军,朔方獨立勢力叛黨,Vanilla,False
Shoufang Separatists,朔方叛党,朔方獨立勢力,Vanilla,False
Shu Commandery,蜀郡豪强,蜀郡,Vanilla,False
Shu Commandery Renegades,蜀郡豪强乱军,蜀郡叛黨,Vanilla,False
Shu Separatists,蜀郡叛党,蜀獨立勢力,Vanilla,False
Shu Separatists Renegades,蜀郡叛党乱军,蜀獨立勢力叛黨,Vanilla,False
Shu-Han,蜀汉,蜀漢,Vanilla,False
Shu-Han Separatists,蜀汉叛党,蜀漢獨立勢力,Vanilla,False
Shuofang Commandery,朔方豪强,朔方郡,Vanilla,False
Shuofang Commandery Renegades,朔方豪强乱军,朔方郡叛黨,Vanilla,False
Shuofang Separatists,朔方叛党,朔方獨立勢力,Vanilla,False
Shuofang Separatists Renegades,朔方叛党乱军,朔方獨立勢力叛黨,Vanilla,False
Sima Ai,司马乂,司馬乂,Vanilla,False
Sima Jiong,司马冏,司馬冏,Vanilla,False
Sima Liang,司马亮,司馬亮,Vanilla,False
Sima Lun,司马伦,司馬倫,Vanilla,False
Sima Wei,司马玮,司馬瑋,Vanilla,False
Sima Yi,司马懿,司馬懿,Vanilla,False
Sima Ying,司马颖,司馬穎,Vanilla,False
Sima Yong,司马颙,司馬顒,Vanilla,False
Sima Yue,司马越,司馬越,Vanilla,False
Song,宋,宋,Vanilla,False
Song Separatists,宋叛党,宋獨立勢力,Vanilla,False
Southern Elephants,南蛮象兵,南方象兵,Vanilla,False
Southern Jian'an,南建安,南建安,Vanilla,False
Southern Jian'an Commandery,南建安豪强,南建安郡,Vanilla,False
Southern Jian'an Commandery Renegades,南建安豪强乱军,南建安郡叛黨,Vanilla,False
Southern Jian'an Commandery Separatists,南建安豪强叛党,南建安郡獨立勢力,Vanilla,False
Southern Jian'an Commandery Separatists Renegades,南建安豪强叛党乱军,南建安郡獨立勢力叛黨,Vanilla,False
Southern Jian'an Separatists,南建安叛党,南建安獨立勢力,Vanilla,False
Spear Guards,持矛亲卫,長槍衛兵,Vanilla,False
Spear Warriors,持矛勇士,長槍戰士,Vanilla,False
Spearmen Gang,矛兵团,長槍兵團,Vanilla,False
Stalwart Shields,坚盾卫士,堅盾衛士,Vanilla,False
Sui,隋,遂,Vanilla,False
Sui Separatists,隋叛党,遂獨立勢力,Vanilla,False
Sun Ce,孙策,孫策,Vanilla,False
Sun Jian,孙坚,孫堅,Vanilla,False
Sun Jian Renegades,孙坚乱军,孫堅叛黨,Vanilla,False
Sun Jian Separatists,孙坚叛党,孫堅獨立勢力,Vanilla,False
Sun Jian Separatists Renegades,孙坚叛党乱军,孫堅獨立勢力叛黨,Vanilla,False
Sun Quan,孙权,孫權,Vanilla,False
Sun Ren,孙仁,孫仁,Vanilla,False
Tai Bandits,郑姜,泰山盜賊,Vanilla,False
Tai Separatists,郑姜叛党,泰山獨立勢力,Vanilla,False
Taiyuan Commandery,太原豪强,太原郡,Vanilla,False
Taiyuan Commandery Renegades,太原豪强乱军,太原郡叛黨,Vanilla,False
Taiyuan Separatist Renegades,太原叛党乱军,太原獨立勢力叛黨,Vanilla,False
Taiyuan Separatists,太原叛党,太原獨立勢力,Vanilla,False
Taiyuan Separatists Renegades,太原叛党乱军,太原獨立勢力叛黨,Vanilla,False
Tan,郯,郯,Vanilla,False
Tan Separatists,郯叛党,郯獨立勢力,Vanilla,False
Tang,唐,唐,Vanilla,False
Tang Separatists,唐叛党,唐獨立勢力,Vanilla,False
Tao Qian,陶谦,陶謙,Vanilla,False
Tao Qian Renegades,陶谦乱军,陶謙叛黨,Vanilla,False
Tao Qian Separatists,陶谦叛党,陶謙獨立勢力,Vanilla,False
Tao Qian Separatists Renegades,陶谦乱军,陶謙獨立勢力叛黨,Vanilla,False
Territorial Archers,义勇弓手,護土弓兵,Vanilla,False
Territorial Spearmen,义勇矛兵,護土長槍兵,Vanilla,False
The Land's Chosen,卫土猛士,地傑軍,Vanilla,False
Thunder of Jian'an,建安雷霆军,建安之雷,Vanilla,False
Tian,田,田,Vanilla,False
Tian Kai,田楷,田楷,Vanilla,False
Tian Kai Renegades,田楷乱军,田楷叛黨,Vanilla,False
Tian Kai Separatist Renegades,田楷叛党乱军,田楷獨立勢力叛黨,Vanilla,False
Tian Kai Separatists,田楷叛党,田楷獨立勢力,Vanilla,False
Tiger & Leopard Cavalry,虎豹骑,虎豹騎兵,Vanilla,False
Tiger Cubs,雏虎,少虎騎,Vanilla,False
Tiger Guard,车下虎士,猛虎衛,Vanilla,False
Tiger Slingers,猛虎投石兵,猛虎投石兵,Vanilla,False
Tiger Warriors,猛虎战士,猛虎戰士,Vanilla,False
Trebuchet,霹雳车,投石機,Vanilla,False
Tu'An,土安,土安,Vanilla,False
Tu'An Renegades,土安乱军,土安叛黨,Vanilla,False
Tu'An Separatists,土安叛党,土安獨立勢力,Vanilla,False
Tu'An Separatists Renegades,土安叛党乱军,土安獨立勢力叛黨,Vanilla,False
Tyrant Slayers,除暴义兵,除暴軍,Vanilla,False
Valley Tribesmen,五溪部民,五谿族眾,Vanilla,False
Venerable Wu,神巫,聖巫軍,Vanilla,False
Virtuous Noblemen,贤贵军,名門賢士,Vanilla,False
Wang,王氏,王,Vanilla,False
Wang Kuang,王匡,王匡,Vanilla,False
Wang Kuang Renegades,王匡乱军,王匡叛黨,Vanilla,False
Wang Kuang Separatists,王匡叛党,王匡獨立勢力,Vanilla,False
Wang Kuang Separatists Renegades,王匡乱军,王匡獨立勢力叛黨,Vanilla,False
Wang Lang,王朗,王朗,Vanilla,False
Wang Lang Renegades,王朗乱军,王朗叛黨,Vanilla,False
Wang Lang Separatists,王朗叛党,王朗獨立勢力,Vanilla,False
Wang Lang Separatists Renegades,王朗乱军,王朗獨立勢力叛黨,Vanilla,False
Wang Rui,王睿,王睿,Vanilla,False
Wang Rui Renegades,王睿乱军,王睿叛黨,Vanilla,False
Wang Rui Separatists,王睿叛党,王睿獨立勢力,Vanilla,False
Wang Rui Separatists Renegades,王睿叛党乱军,王睿獨立勢力叛黨,Vanilla,False
Wang Separatists,王氏叛党,王獨立勢力,Vanilla,False
War Elephants,战象,戰象兵,Vanilla,False
Warriors of Xu,徐国勇士,徐州勇士,Vanilla,False
Warriors of Ye,邺国勇士,鄴城勇士,Vanilla,False
Warriors of the Left,左阵军,左軍戰士,Vanilla,False
Watchmen of the Peace,卫平军,和平守衛,Vanilla,False
Wei,魏郡,魏,Vanilla,False
Wei Commandery,魏郡豪强,魏郡,Vanilla,False
Wei Commandery Renegades,魏郡豪强乱军,魏郡叛黨,Vanilla,False
Wei Separatist Renegades,魏郡叛党乱军,魏獨立勢力叛黨,Vanilla,False
Wei Yan,魏延,魏延,Vanilla,False
Wen Chou,文丑,文醜,Vanilla,False
White Horse Fellows,白马义从,白馬義從,Vanilla,False
White Horse Raiders,白马游骑,白馬突襲隊,Vanilla,False
White Tiger Raiders,白虎掠袭者,白虎劫匪,Vanilla,False
White Tiger Warriors,白虎勇士,白虎軍,Vanilla,False
White Tiger Yan,严白虎,嚴白虎,Vanilla,False
White Wave Horsemen,白波骑兵,白波騎兵,Vanilla,False
White Wave Veterans,白波旧部,白波老兵,Vanilla,False
Wolf Pack,群狼,群狼兵,Vanilla,False
Wu,吴,吳,Vanilla,False
Wu Anguo,武安国,武安囯,Lookup,False
Wu Jing,吴景,吳景,Vanilla,False
Wu Jing Separatists,吴景叛党,吳景獨立勢力,Vanilla,False
Wu Renegades,吴乱军,吳叛黨,Vanilla,False
Wu Separatist Renegades,吴叛党乱军,吳獨立勢力叛黨,Vanilla,False
Wu Separatists,吴叛党,吳獨立勢力,Vanilla,False
Wudu Commandery,武都豪强,武都郡,Vanilla,False
Wudu Commandery Renegades,武都豪强乱军,武都郡叛黨,Vanilla,False
Wudu Commandery Separatists,武都豪强叛党,武都郡獨立勢力,Vanilla,False
Wudu Commandery Separatists Renegades,武都豪强叛党乱军,武都郡獨立勢力叛黨,Vanilla,False
Wudu Separatist Renegades,武都叛党乱军,武都獨立勢力叛黨,Vanilla,False
Wudu Separatists,武都叛党,武都獨立勢力,Vanilla,False
Wuguo Axe Throwers,乌戈飞斧兵,烏戈飛斧手,Vanilla,False
Wuling,武陵,武陵,Vanilla,False
Wuling Commandery,武陵豪强,武陵郡,Vanilla,False
Wuling Commandery Renegades,武陵豪强乱军,武陵郡叛黨,Vanilla,False
Wuling Fighters,武陵战士,武陵鬥士,Vanilla,False
Wuling Separatist Renegades,武陵叛党乱军,武陵獨立勢力叛黨,Vanilla,False
Wuling Separatists,武陵叛党,武陵獨立勢力,Vanilla,False
Wuling Separatists Renegades,武陵叛党乱军,武陵獨立勢力叛黨,Vanilla,False
Wuling Slingers,武陵投石兵,武陵投石兵,Vanilla,False
Wuwei Commandery,武威豪强,武威郡,Vanilla,False
Wuwei Commandery Renegades,武威豪强乱军,武威郡叛黨,Vanilla,False
Wuwei Commandery Separatists,武威豪强叛党,武威郡獨立勢力,Vanilla,False
Wuwei Commandery Separatists Renegades,武威豪强叛党乱军,武威郡獨立勢力叛黨,Vanilla,False
Wuwei Separatist Renegades,武威叛党乱军,武威獨立勢力叛黨,Vanilla,False
Wuwei Separatists,武威叛党,武威獨立勢力,Vanilla,False
Xi'Ni,奚泥,奚泥,Vanilla,False
Xi'Ni Renegades,奚泥乱军,奚泥叛黨,Vanilla,False
Xi'Ni Separatists,奚泥叛党,奚泥獨立勢力,Vanilla,False
Xi'Ni Separatists Renegades,奚泥叛党乱军,奚泥獨立勢力叛黨,Vanilla,False
Xiahou Dun,夏侯惇,夏侯惇,Vanilla,False
Xiahou Yuan,夏侯渊,夏侯淵,Vanilla,False
Xianbei Horse Archers,鲜卑马弓手,鮮卑弓騎兵,Vanilla,False
Xianbei Riders,鲜卑掠骑兵,鮮卑騎兵,Vanilla,False
Xiangyang Commandery,襄阳豪强,襄陽郡,Vanilla,False
Xiangyang Commandery Renegades,襄阳豪强乱军,襄陽郡叛黨,Vanilla,False
Xiangyang Separatist Renegades,襄阳叛党乱军,襄陽獨立勢力叛黨,Vanilla,False
Xiangyang Separatists,襄阳叛党,襄陽獨立勢力,Vanilla,False
Xiangyang Separatists Renegades,襄阳叛党乱军,襄陽獨立勢力叛黨,Vanilla,False
Xiao Qiao,小乔,小喬,Vanilla,False
Xiapi,下邳,下邳,Vanilla,False
Xiapi Renegades,下邳乱军,下邳叛黨,Vanilla,False
Xiapi Separatist  Renegades,下邳叛党乱军,下邳獨立勢力叛黨,Vanilla,False
Xiapi Separatists,下邳叛党,下邳獨立勢力,Vanilla,False
Xihe,西河,西河,Vanilla,False
Xihe Commandery,西河豪强,西河郡,Vanilla,False
Xihe Commandery Renegades,西河豪强乱军,西河郡叛黨,Vanilla,False
Xihe Commandery Separatists,西河豪强叛党,西河郡獨立勢力,Vanilla,False
Xihe Commandery Separatists Renegades,西河豪强叛党乱军,西河郡獨立勢力叛黨,Vanilla,False
Xihe Separatist Renegades,西河叛党乱军,西河獨立勢力叛黨,Vanilla,False
Xihe Separatists,西河叛党,西河獨立勢力,Vanilla,False
Xiliang Cavalry,西凉骑兵,西涼騎兵,Vanilla,False
Xin Xuan,金旋,金旋,Vanilla,False
Xin Xuan Renegades,金旋乱军,金旋叛黨,Vanilla,False
Xin Xuan Separatist Renegades,金旋叛党乱军,金旋獨立勢力叛黨,Vanilla,False
Xin Xuan Separatists,金旋叛党,金旋獨立勢力,Vanilla,False
Xindu,新都,新都,Vanilla,False
Xindu Commandery,新都豪强,新都郡,Vanilla,False
Xindu Commandery Renegades,新都豪强乱军,新都郡叛黨,Vanilla,False
Xindu Separatist Renegades,新都叛党乱军,新都獨立勢力叛黨,Vanilla,False
Xindu Separatists,新都叛党,新都獨立勢力,Vanilla,False
Xindu Separatists Renegades,新都叛党乱军,新都獨立勢力叛黨,Vanilla,False
Xiongnu Cataphracts,匈奴铁骑,匈奴鐵甲騎兵,Vanilla,False
Xiongnu Cavalry,匈奴骑兵,匈奴騎兵,Vanilla,False
Xiongnu Noble Cavalry,匈奴贵族骑兵,匈奴貴族騎兵,Vanilla,False
Xu,许,許,Vanilla,False
Xu Chu,许褚,許褚,Vanilla,False
Xu Gong,许贡,許貢,Vanilla,False
Xu Gong Renegades,许贡乱军,許貢叛黨,Vanilla,False
Xu Gong Separatist Renegades,许贡叛党乱军,許貢獨立勢力叛黨,Vanilla,False
Xu Gong Separatists,许贡叛党,許貢獨立勢力,Vanilla,False
Xu Huang,徐晃,徐晃,Vanilla,False
Xu Raiders,徐国轻卒,徐州突襲隊,Vanilla,False
Xu Shu,徐庶,徐庶,Vanilla,False
Xu Zhao,许昭,許昭,Vanilla,False
Xu Zhao Renegades,许昭乱军,許昭叛黨,Vanilla,False
Xu Zhao Separatist Renegades,许昭叛党乱军,許昭獨立勢力叛黨,Vanilla,False
Xu Zhao Separatists,许昭叛党,許昭獨立勢力,Vanilla,False
Xue,薛,薛,Vanilla,False
Xue Li,薛礼,薛禮,Vanilla,False
Xue Li Renegades,薛礼乱军,薛禮叛黨,Vanilla,False
Xue Li Separatist Renegades,薛礼叛党乱军,薛禮獨立勢力叛黨,Vanilla,False
Xue Li Separatists,薛礼叛党,薛禮獨立勢力,Vanilla,False
Xun,浚,荀,Vanilla,False
Xun Separatists,浚叛党,荀獨立勢力,Vanilla,False
Xun You,荀攸,荀攸,Vanilla,False
Xun Yu,荀彧,荀彧,Vanilla,False
Yan,燕,燕,Vanilla,False
Yan Baihu,严白虎,嚴白虎,Vanilla,False
Yan Liang,颜良,顏良,Vanilla,False
Yan Separatists,燕叛党,燕獨立勢力,Vanilla,False
Yan Xiang,阎象,閻象,Lookup,False
Yan Yu,严舆,嚴輿,Vanilla,False
Yang,杨,楊,Vanilla,False
Yang Feng Separatist Renegades,杨奉叛党乱军,楊奉獨立勢力叛黨,Vanilla,False
Yang Feng Separatists Renegades,杨锋叛党乱军,楊鋒獨立勢力叛黨,Vanilla,False
Yanmen,雁门,雁門,Vanilla,False
Yanmen Commandery,雁门豪强,雁門郡,Vanilla,False
Yanmen Commandery Renegades,雁门豪强乱军,雁門郡叛黨,Vanilla,False
Yanmen Separatist Renegades,雁门叛党乱军,雁門獨立勢力叛黨,Vanilla,False
Yanmen Separatists,雁门叛党,雁門獨立勢力,Vanilla,False
Yanmen Separatists Renegades,雁门叛党乱军,雁門獨立勢力叛黨,Vanilla,False
Ye,邺,鄴,Vanilla,False
Ye Commandery,邺豪强,鄴郡,Vanilla,False
Ye Commandery Renegades,邺豪强乱军,鄴郡叛黨,Vanilla,False
Ye Commandery Separatists,邺豪强叛党,鄴郡獨立勢力,Vanilla,False
Ye Commandery Separatists Renegades,邺豪强叛党乱军,鄴郡獨立勢力叛黨,Vanilla,False
Ye Separatist Renegades,邺叛党乱军,鄴獨立勢力叛黨,Vanilla,False
Ye Separatists,邺叛党,鄴獨立勢力,Vanilla,False
Ye Vanguard Crossbows,邺国先登弩手,鄴城先鋒弩兵,Vanilla,False
Ye Vanguard Spearmen,邺国先登矛卫,鄴城先鋒長槍兵,Vanilla,False
Yellow Dragons,黄龙军,黃龍軍,Vanilla,False
Yellow Sky Heralds,黄天使团,黃天開路軍,Vanilla,False
Yellow Turban Archers,黄巾弓手,黃巾軍弓兵,Vanilla,False
Yellow Turban Archers Captain,黄巾弓手伯长,黃巾軍弓兵校尉,Vanilla,False
Yellow Turban Horsemen,黄巾骑兵,黃巾軍騎兵,Vanilla,False
Yellow Turban Rebels,黄巾乱军,黃巾軍,Vanilla,False
Yellow Turban Spearmen,黄巾矛兵,黃巾軍長槍兵,Vanilla,False
Yellow Turban Spearmen Captain,黄巾矛兵伯长,黃巾軍長槍兵校尉,Vanilla,False
Yellow Turban Warriors,黄巾战士,黃巾軍戰士,Vanilla,False
Yellow Turban Warriors Captain,黄巾战士伯长,黃巾軍戰士校尉,Vanilla,False
Yi Archers,益州弓箭手,益州弓兵,Vanilla,False
Yi Marksmen,益州神射手,益州射手,Vanilla,False
Yijian Liting,伊健丽婷,伊健麗婷,Lookup,False
Ying Shao,应劭,應劭,Vanilla,False
Ying Shao Renegades,应劭乱军,應劭叛黨,Vanilla,False
Ying Shao Separatist Renegades,应劭叛党乱军,應劭獨立勢力叛黨,Vanilla,False
Ying Shao Separatists,应劭叛党,應劭獨立勢力,Vanilla,False
Yingchuan,颍川,潁川,Vanilla,False
Yingchuan Commandery,颍川豪强,潁川郡,Vanilla,False
Yingchuan Commandery Renegades,颍川豪强乱军,潁川郡叛黨,Vanilla,False
Yingchuan Separatist Renegades,颍川叛党乱军,潁川獨立勢力叛黨,Vanilla,False
